Pair	Ctcf_E_Gm12878	Dnase_E_Gm12878	H3k27ac_E_Gm12878	H3k27me3_E_Gm12878	H3k36me3_E_Gm12878	H3k4me1_E_Gm12878	H3k4me2_E_Gm12878	H3k4me3_E_Gm12878	H3k79me2_E_Gm12878	H3k9ac_E_Gm12878	H3k9me3_E_Gm12878	H4k20me1_E_Gm12878	RAD21_E_Gm12878	TBP_E_Gm12878	Ctcf_P_Gm12878	Dnase_P_Gm12878	H3k27ac_P_Gm12878	H3k27me3_P_Gm12878	H3k36me3_P_Gm12878	H3k4me1_P_Gm12878	H3k4me2_P_Gm12878	H3k4me3_P_Gm12878	H3k79me2_P_Gm12878	H3k9ac_P_Gm12878	H3k9me3_P_Gm12878	H4k20me1_P_Gm12878	RAD21_P_Gm12878	TBP_P_Gm12878	Ctcf_W_Gm12878	Dnase_W_Gm12878	H3k27ac_W_Gm12878	H3k27me3_W_Gm12878	H3k36me3_W_Gm12878	H3k4me1_W_Gm12878	H3k4me2_W_Gm12878	H3k4me3_W_Gm12878	H3k79me2_W_Gm12878	H3k9ac_W_Gm12878	H3k9me3_W_Gm12878	H4k20me1_W_Gm12878	RAD21_W_Gm12878	TBP_W_Gm12878	Ctcf_E_K562	Dnase_E_K562	H3k27ac_E_K562	H3k27me3_E_K562	H3k36me3_E_K562	H3k4me1_E_K562	H3k4me2_E_K562	H3k4me3_E_K562	H3k79me2_E_K562	H3k9ac_E_K562	H3k9me3_E_K562	H4k20me1_E_K562	RAD21_E_K562	TBP_E_K562	Ctcf_P_K562	Dnase_P_K562	H3k27ac_P_K562	H3k27me3_P_K562	H3k36me3_P_K562	H3k4me1_P_K562	H3k4me2_P_K562	H3k4me3_P_K562	H3k79me2_P_K562	H3k9ac_P_K562	H3k9me3_P_K562	H4k20me1_P_K562	RAD21_P_K562	TBP_P_K562	Ctcf_W_K562	Dnase_W_K562	H3k27ac_W_K562	H3k27me3_W_K562	H3k36me3_W_K562	H3k4me1_W_K562	H3k4me2_W_K562	H3k4me3_W_K562	H3k79me2_W_K562	H3k9ac_W_K562	H3k9me3_W_K562	H4k20me1_W_K562	RAD21_W_K562	TBP_W_K562	Ctcf_E_Huvec	Dnase_E_Huvec	H3k27ac_E_Huvec	H3k27me3_E_Huvec	H3k36me3_E_Huvec	H3k4me1_E_Huvec	H3k4me2_E_Huvec	H3k4me3_E_Huvec	H3k79me2_E_Huvec	H3k9ac_E_Huvec	H3k9me3_E_Huvec	H4k20me1_E_Huvec	RAD21_E_Huvec	TBP_E_Huvec	Ctcf_P_Huvec	Dnase_P_Huvec	H3k27ac_P_Huvec	H3k27me3_P_Huvec	H3k36me3_P_Huvec	H3k4me1_P_Huvec	H3k4me2_P_Huvec	H3k4me3_P_Huvec	H3k79me2_P_Huvec	H3k9ac_P_Huvec	H3k9me3_P_Huvec	H4k20me1_P_Huvec	RAD21_P_Huvec	TBP_P_Huvec	Ctcf_W_Huvec	Dnase_W_Huvec	H3k27ac_W_Huvec	H3k27me3_W_Huvec	H3k36me3_W_Huvec	H3k4me1_W_Huvec	H3k4me2_W_Huvec	H3k4me3_W_Huvec	H3k79me2_W_Huvec	H3k9ac_W_Huvec	H3k9me3_W_Huvec	H4k20me1_W_Huvec	RAD21_W_Huvec	TBP_W_Huvec	Ctcf_E_Hmec	Dnase_E_Hmec	H3k27ac_E_Hmec	H3k27me3_E_Hmec	H3k36me3_E_Hmec	H3k4me1_E_Hmec	H3k4me2_E_Hmec	H3k4me3_E_Hmec	H3k79me2_E_Hmec	H3k9ac_E_Hmec	H3k9me3_E_Hmec	H4k20me1_E_Hmec	RAD21_E_Hmec	TBP_E_Hmec	Ctcf_P_Hmec	Dnase_P_Hmec	H3k27ac_P_Hmec	H3k27me3_P_Hmec	H3k36me3_P_Hmec	H3k4me1_P_Hmec	H3k4me2_P_Hmec	H3k4me3_P_Hmec	H3k79me2_P_Hmec	H3k9ac_P_Hmec	H3k9me3_P_Hmec	H4k20me1_P_Hmec	RAD21_P_Hmec	TBP_P_Hmec	Ctcf_W_Hmec	Dnase_W_Hmec	H3k27ac_W_Hmec	H3k27me3_W_Hmec	H3k36me3_W_Hmec	H3k4me1_W_Hmec	H3k4me2_W_Hmec	H3k4me3_W_Hmec	H3k79me2_W_Hmec	H3k9ac_W_Hmec	H3k9me3_W_Hmec	H4k20me1_W_Hmec	RAD21_W_Hmec	TBP_W_Hmec	Ctcf_E_Nhek	Dnase_E_Nhek	H3k27ac_E_Nhek	H3k27me3_E_Nhek	H3k36me3_E_Nhek	H3k4me1_E_Nhek	H3k4me2_E_Nhek	H3k4me3_E_Nhek	H3k79me2_E_Nhek	H3k9ac_E_Nhek	H3k9me3_E_Nhek	H4k20me1_E_Nhek	RAD21_E_Nhek	TBP_E_Nhek	Ctcf_P_Nhek	Dnase_P_Nhek	H3k27ac_P_Nhek	H3k27me3_P_Nhek	H3k36me3_P_Nhek	H3k4me1_P_Nhek	H3k4me2_P_Nhek	H3k4me3_P_Nhek	H3k79me2_P_Nhek	H3k9ac_P_Nhek	H3k9me3_P_Nhek	H4k20me1_P_Nhek	RAD21_P_Nhek	TBP_P_Nhek	Ctcf_W_Nhek	Dnase_W_Nhek	H3k27ac_W_Nhek	H3k27me3_W_Nhek	H3k36me3_W_Nhek	H3k4me1_W_Nhek	H3k4me2_W_Nhek	H3k4me3_W_Nhek	H3k79me2_W_Nhek	H3k9ac_W_Nhek	H3k9me3_W_Nhek	H4k20me1_W_Nhek	RAD21_W_Nhek	TBP_W_Nhek	Distance	Count
chr17_0_5000-chr17_1000000_1005000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.44314	3.03645	1.46231	0.378992	5.64752	2.74729	1.14794	1.2979	3.55351	2.05329	0.736492	4.01496	1.4499	0.01	1.5111	2.48372	1.35662	1.43463	2.54155	1.45961	1.67937	1.62979	1.44978	1.74019	1.23084	2.03488	3.89581	0.0779921	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.53653	1.54523	0.602265	2.68038	3.30582	0.678905	0.709385	1.10828	0.37768	0.70618	1.41225	1.63695	1.15549	0.01	1.44205	1.53425	1.20494	1.33197	2.01182	1.19179	1.22186	1.28527	1.01652	1.11393	1.12186	1.31077	3.5088	0.0666339	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	1.20413	1.59181	0.952031	0.922713	6.53249	2.43052	1.4883	0.433556	4.06091	1.67206	1.23332	2.01436	1.08767	0.01	1.38644	2.44342	2.96604	1.06599	2.87855	2.80949	2.4031	2.18462	4.67766	2.37747	1.83142	1.72772	3.3769	0.069244	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	995000	0.723702
chr17_0_5000-chr17_100000_105000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.618914	1.87208	0.470874	1.04477	0.640022	0.687743	0.14624	0.904402	0.335345	0.865206	0.586053	1.63145	1.45727	0.01	1.37128	3.75544	0.651692	2.38824	0.692442	1.59425	1.09203	0.943288	0.379065	1.18247	1.34221	2.12548	8.94201	0.114942	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.02062	0.797935	0.468885	1.15123	1.77869	0.281055	0.515195	0.60395	0.263735	0.38638	0.75056	1.09538	1.27426	0.01	1.26115	1.14114	0.880827	1.05672	1.65442	0.500418	0.556955	0.790524	0.344997	0.469981	1.06655	1.38432	8.14947	0.0911564	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	0.61552	1.40868	0.190263	0.537516	0.722068	0.435531	0.42751	0.479868	0.262423	0.713211	0.568355	0.65463	1.08078	0.01	1.84121	5.16547	1.45575	3.024	1.27852	3.1621	1.72908	1.20057	0.449087	1.51123	0.920432	1.02615	8.12614	0.0858321	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	0.382044	0.508622	0.241094	0.986174	0.466694	0.461739	0.19168	0.534073	0.312152	0.301457	4.15078	1.11748	1.05698	0.01	0.963604	1.06482	0.525127	2.18861	0.721537	0.759534	0.726312	0.753641	0.303227	0.791843	4.70948	1.37993	7.71928	0.0931672	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.1662	2.36512	0.204299	2.0398	1.07669	0.268747	0.360802	0.762837	0.242768	0.765605	2.25551	0.858199	1.31972	0.01	1.27489	3.62952	0.376813	4.95958	0.738495	0.974422	0.933728	1.21741	0.303247	0.764753	2.13887	2.48162	8.25494	0.0909455	95000	2.47228
chr17_0_5000-chr17_10000_15000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	6.22236	9.03853	0.625529	2.41148	0.589309	3.76434	1.3964	0.704901	0.518792	2.0016	1.18888	2.56082	8.29351	0.01	0.865063	2.87524	0.379039	2.22835	0.68038	0.83982	0.418721	0.757967	0.228921	1.25034	1.15633	1.91867	3.39809	0.01	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	9.3853	3.45665	0.61552	1.31639	2.1278	0.55213	0.25696	0.79941	0.206953	0.472632	1.09052	1.45085	6.62586	0.01	1.628	0.998105	0.679155	0.90177	2.37043	0.3656	0.35124	0.436765	0.39475	0.56836	0.94797	1.4349	2.88305	0.01	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	10.7847	9.53831	0.280393	2.0051	0.366035	0.381004	0.646111	0.356545	0.401067	2.01975	0.899206	1.38492	6.9067	0.01	1.96225	4.0858	0.785198	1.88406	0.704848	0.832077	0.471074	0.241031	0.344258	2.01975	0.868774	0.977084	2.76436	0.01	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	2.8173	1.90932	0.800548	2.061	0.639318	0.803387	0.509254	0.778104	0.308343	0.735276	6.05792	1.51637	6.06902	0.01	1.33809	1.16282	0.198447	1.80293	0.700492	0.519344	0.996649	1.01093	0.181925	1.01329	5.34122	1.06838	2.68976	0.01	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	8.30969	6.22798	0.641721	3.40567	0.721126	0.354996	0.711603	1.60039	0.273298	0.594564	1.88239	3.01943	7.00533	0.01	0.932481	4.18573	0.398599	2.24654	0.769561	0.686359	0.918268	0.95953	0.244603	1.21897	2.2669	2.58955	2.87231	0.01	5000	4.14893
chr17_0_5000-chr17_1005000_1010000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.54603	3.08204	1.20091	0.486801	5.30551	1.93327	1.3307	0.642302	4.75431	1.52895	1.16225	4.10042	2.12744	0.01	1.51076	2.48648	1.35715	1.42935	2.55708	1.46605	1.67672	1.62813	1.4603	1.74175	1.22837	2.04478	3.88358	0.0776522	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.624535	0.8418	0.81046	2.07598	3.75062	0.82586	0.82053	1.04394	0.39028	0.43552	1.27424	1.7623	1.76595	0.01	1.43752	1.5343	1.20193	1.33871	2.01829	1.18922	1.2193	1.28439	1.01333	1.11189	1.12331	1.3124	3.49704	0.0663507	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	2.30636	2.30531	0.4911	0.248686	4.17909	1.12301	1.20651	1.04964	7.033	1.59205	1.23491	2.37377	1.78278	0.01	2.41626	3.82492	3.13951	1.18152	2.98112	4.04875	2.65248	2.29256	2.40442	2.91674	0.881991	1.51298	3.46959	0.065033	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.746702	2.33987	0.515377	1.09826	3.5636	0.911682	0.918258	1.79928	3.04459	1.21897	1.00949	2.08356	1.88478	0.01	1.8725	3.05607	4.03202	1.68447	3.76524	3.0769	3.19029	2.43981	5.61465	3.7057	1.1986	2.77658	3.65354	0.0666853	1000000	0.501496
chr17_0_5000-chr17_105000_110000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.819155	1.85471	0.376448	0.735031	0.181653	0.421446	0.383495	0.474711	0.0474991	0.584924	0.44587	1.71682	4.11655	0.01	1.33366	3.66127	0.642651	2.32107	0.689821	1.54892	1.04474	0.941344	0.376879	1.16661	1.3044	2.10078	8.56778	0.109695	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.82986	0.71042	0.16109	0.86988	1.05464	0.214	0.29379	0.13045	0.0949935	0.47734	0.481625	1.20221	3.51925	0.01	1.24913	1.12398	0.86023	1.06145	1.66063	0.48945	0.554867	0.781196	0.340934	0.465801	1.05075	1.36987	7.80571	0.0870986	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	1.31086	2.56117	0.242556	2.48118	0.704848	2.97803	0.512806	1.16489	0.307521	0.601725	0.691849	1.01726	3.43461	0.01	1.77992	4.97763	1.39248	2.89968	1.2507	3.02577	1.664	1.16453	0.439754	1.47133	0.902828	1.00757	7.77387	0.0820405	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.322401	2.117	0.284699	1.1697	0.227036	0.235453	0.191654	0.748377	0.185346	0.477548	4.39403	1.72951	3.75991	0.01	1.21946	3.5663	0.368187	4.81359	0.755405	0.939138	0.905081	1.19468	0.300223	0.764795	2.1447	2.40045	7.90817	0.0868982	100000	2.56937
chr17_0_5000-chr17_110000_115000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.22826	3.17509	0.336372	2.79069	0.636843	0.731629	0.631818	0.704936	0.262371	0.933458	1.06806	2.2937	2.57443	0.01	1.30916	3.57524	0.629975	2.24555	0.665622	1.49523	1.01326	0.919123	0.361194	1.13891	1.26352	2.0825	8.35581	0.104948	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.974765	1.00812	0.79591	2.37484	2.58647	0.629255	0.625345	0.91975	0.456145	0.440475	1.1014	2.19675	2.38961	0.01	1.22916	1.10429	0.826938	1.05232	1.63177	0.476333	0.542435	0.750208	0.329223	0.466351	1.02365	1.36189	7.60159	0.0834272	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	2.31427	3.38173	0.820911	2.2717	1.43405	1.49402	1.67323	0.949738	0.703519	0.720071	1.29271	1.08454	2.24852	0.01	1.75759	4.86256	1.33772	2.87975	1.2247	3.0235	1.60918	1.16455	0.433457	1.42992	0.892782	1.00803	7.56724	0.07861	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.322401	4.19388	0.262689	2.73009	0.769624	0.368713	0.452322	1.79919	0.338727	0.635474	3.58908	1.97556	2.57882	0.01	1.17674	3.49728	0.364212	4.64007	0.730244	0.905629	0.871109	1.17343	0.294752	0.751117	2.25181	2.3685	7.71064	0.0832364	105000	2.51607
chr17_0_5000-chr17_120000_125000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.747426	1.60029	0.310605	1.27544	0.596284	0.610711	0.460363	0.784465	0.370777	0.78532	1.24401	1.95061	3.29279	0.580303	1.28596	3.55404	0.598843	2.28408	0.657824	1.40904	0.963367	0.886061	0.358769	1.11033	1.24227	2.11703	7.8586	0.0966912	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.855335	0.80912	0.59415	0.78228	0.87898	0.383085	0.5669	0.681495	0.45728	0.572725	0.804785	0.719775	3.25912	0.520999	1.22605	1.08674	0.821717	1.1534	1.70545	0.502177	0.535922	0.741217	0.336421	0.471714	1.03868	1.41363	7.14294	0.0770423	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	0.660752	1.53325	0.100131	1.11524	1.16035	0.934556	0.375697	0.818606	0.236082	1.41597	0.647745	1.03149	2.7519	0.523101	1.76593	4.96228	1.33505	2.88238	1.28104	3.05179	1.68658	1.17665	0.449587	1.41964	0.908814	0.991864	7.10731	0.0726439	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	0.832162	0.613501	0.676874	0.772747	0.689531	0.392149	0.466373	0.656041	0.13318	0.679765	4.09631	1.33084	2.81616	0.519152	0.902355	1.00274	0.560333	2.06146	0.711897	0.702393	0.678732	0.751971	0.296859	0.777561	4.71912	1.38035	6.74916	0.0787034	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	115000	1.75763
chr17_0_5000-chr17_125000_130000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.814721	3.37704	0.453757	2.97762	0.908418	0.597879	0.300094	0.970203	0.370784	1.44622	1.68504	2.34406	3.64288	0.01	1.26352	3.47264	0.586833	2.24205	0.65526	1.37578	0.942408	0.881827	0.359269	1.09678	1.24234	2.11009	7.66836	0.116842	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.29585	1.12336	0.93577	1.24683	1.01721	0.723775	0.299505	0.735045	0.308535	0.440495	1.3646	1.4746	2.7313	0.01	1.2106	1.07517	0.812235	1.13794	1.67101	0.497214	0.537213	0.738729	0.341457	0.475923	1.02893	1.38472	6.98111	0.0955405	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	1.85366	6.35407	5.0319	1.82524	2.09454	6.96303	5.11937	1.53825	0.549811	1.82423	1.17542	1.65889	2.94741	0.01	1.71988	4.8194	1.28359	2.80875	1.27601	2.96357	1.63196	1.16173	0.440691	1.41949	0.897936	0.993515	6.92584	0.091413	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	1.96561	1.18264	0.472236	1.39995	1.1965	0.637754	0.535841	0.952455	0.308948	0.948846	3.87355	1.59239	2.64571	0.01	0.89943	0.986526	0.565189	2.00776	0.710965	0.689466	0.669884	0.747974	0.290039	0.773486	4.69317	1.37829	6.58528	0.0970554	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.634645	2.21638	0.515377	4.93997	1.19473	0.584993	0.55496	1.10021	0.391652	0.945302	1.75421	3.89777	2.85033	0.01	1.12354	3.49993	0.357698	4.45216	0.742617	0.859179	0.872708	1.20195	0.298855	0.745244	2.27782	2.31706	7.08926	0.0954593	120000	2.92374
chr17_0_5000-chr17_130000_135000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.18256	4.76189	0.450879	2.02381	0.669305	0.932187	0.460422	0.901461	0.337348	0.944441	1.59706	2.88543	4.02944	0.01	1.24557	3.46881	0.58151	2.27148	0.665386	1.34466	0.916716	0.885362	0.35973	1.11076	1.26005	2.11945	7.50734	0.112568	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.730945	0.559625	1.08839	1.33574	2.60962	0.72381	0.509535	0.91854	0.3145	0.583115	1.46448	2.4172	3.62308	0.01	1.21401	1.0771	0.817177	1.14229	1.64486	0.506277	0.527704	0.738581	0.34014	0.474506	1.04236	1.38832	6.81112	0.0921189	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	1.54669	6.00145	2.01493	1.37436	0.993949	5.20313	2.13185	1.88948	0.503005	2.97089	1.21051	1.10926	3.95408	0.01	1.72523	4.88079	1.43353	2.76941	1.30875	3.12355	1.77146	1.17679	0.445056	1.43567	0.909036	1.02013	6.7667	0.0881565	0.993304	1.07636	0.569356	1.33236	0.761667	0.749525	0.47084	1.07459	0.33463	1.04228	5.87809	1.49197	3.12212	0.01	0.69466	1.31095	0.332373	1.92569	0.923389	0.917502	0.435354	0.719769	0.44104	0.675293	6.09342	1.79491	3.2261	0.01	0.942077	0.994371	0.56147	1.98345	0.730386	0.687397	0.664522	0.756153	0.290795	0.7805	4.66038	1.38685	6.4277	0.0935732	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	1.62411	4.75251	0.204299	4.65876	0.552588	0.235453	0.55496	1.0041	0.446449	0.614485	1.68381	3.13512	3.84908	0.01	1.10398	3.44859	0.364005	4.47168	0.760701	0.848212	0.859998	1.19788	0.302567	0.753246	2.25687	2.38029	6.9197	0.0920409	125000	2.52341
chr17_0_5000-chr17_135000_140000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.797581	2.64242	0.376457	1.14252	0.3701	0.964182	0.849042	0.364856	0.187197	0.621598	0.300557	1.37659	6.60946	0.01	1.24314	3.51855	0.576486	2.26195	0.665537	1.3288	0.899166	0.885982	0.358869	1.10437	1.27301	2.14891	7.37357	0.108623	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.72315	1.29305	0.31426	1.21844	2.35365	0.112002	0.321009	0.435465	0.35142	0.349495	0.80265	1.76931	6.27618	0.01	1.19543	1.0572	0.827608	1.14973	1.68197	0.514644	0.527006	0.745503	0.339154	0.478683	1.0586	1.42789	6.6885	0.0889604	1.22128	3.49802	1.09111	2.49801	1.16064	3.34852	0.978082	1.88948	0.330895	1.07499	0.977871	1.33828	3.24361	0.01	0.736793	2.72533	0.397708	0.711034	1.16064	0.421039	0.341729	0.472061	0.504662	0.361605	0.62999	0.332361	6.0424	0.01	1.71837	4.92389	1.45589	2.71575	1.29664	3.20353	1.78532	1.2042	0.447285	1.49472	0.920631	1.02356	6.65852	0.0851504	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.947202	2.07998	0.515377	2.40359	0.997274	0.368713	0.709167	1.26473	0.331614	1.09662	2.48026	1.82437	3.33744	0.01	0.322401	3.54424	0.136344	2.27405	0.721126	0.235453	0.273101	0.643063	0.185384	0.477418	1.17389	1.98859	6.59629	0.01	1.12399	3.49874	0.357862	4.47887	0.752697	0.824644	0.848266	1.19042	0.3081	0.747909	2.23483	2.40932	6.8016	0.0888855	130000	2.39521
