Column	TrueValue	PredictedValue	squared_err
chr17_0_5000-chr17_1000000_1005000	1.53011	1.86691	0.113436	995000
chr17_0_5000-chr17_100000_105000	3.63671	3.69149	0.00300114	95000
chr17_0_5000-chr17_10000_15000	5.36363	5.03367	0.108874	5000
chr17_0_5000-chr17_1005000_1010000	1.169	1.84437	0.456121	1e+06
chr17_0_5000-chr17_105000_110000	3.73965	3.69816	0.00172181	100000
chr17_0_5000-chr17_110000_115000	3.68322	3.72414	0.00167405	105000
chr17_0_5000-chr17_120000_125000	2.85361	3.34692	0.243357	115000
chr17_0_5000-chr17_125000_130000	4.11095	4.01094	0.0100028	120000
chr17_0_5000-chr17_130000_135000	3.691	3.83193	0.0198624	125000
chr17_0_5000-chr17_135000_140000	3.55455	3.66306	0.0117749	130000
chr17_0_5000-chr17_140000_145000	4.08209	3.90366	0.0318359	135000
chr17_0_5000-chr17_145000_150000	3.82161	3.71548	0.0112632	140000
chr17_0_5000-chr17_150000_155000	3.75425	3.79291	0.00149452	145000
chr17_0_5000-chr17_15000_20000	4.87601	4.84688	0.000848353	10000
chr17_0_5000-chr17_155000_160000	3.69777	3.86853	0.0291602	150000
chr17_0_5000-chr17_160000_165000	3.97931	4.0018	0.000505752	155000
chr17_0_5000-chr17_165000_170000	3.52011	3.54534	0.000636317	160000
chr17_0_5000-chr17_175000_180000	3.90373	3.90953	3.36647e-05	170000
chr17_0_5000-chr17_180000_185000	3.86722	3.91183	0.00199038	175000
chr17_0_5000-chr17_190000_195000	3.56867	3.58259	0.000193655	185000
chr17_0_5000-chr17_195000_200000	3.72214	3.71483	5.34704e-05	190000
chr17_0_5000-chr17_200000_205000	3.42477	3.70905	0.0808159	195000
chr17_0_5000-chr17_20000_25000	4.8556	4.9433	0.00769182	15000
chr17_0_5000-chr17_205000_210000	3.85152	3.74018	0.0123955	200000
chr17_0_5000-chr17_210000_215000	3.5528	3.62442	0.00512953	205000
chr17_0_5000-chr17_220000_225000	4.07454	3.92578	0.0221292	215000
chr17_0_5000-chr17_230000_235000	4.13321	3.97308	0.0256419	225000
chr17_0_5000-chr17_235000_240000	4.12323	4.09255	0.000941055	230000
chr17_0_5000-chr17_240000_245000	4.24172	4.14187	0.00996925	235000
chr17_0_5000-chr17_245000_250000	3.48072	3.75698	0.0763187	240000
chr17_0_5000-chr17_250000_255000	4.02133	3.75784	0.0694253	245000
chr17_0_5000-chr17_25000_30000	4.76591	4.68222	0.00700434	20000
chr17_0_5000-chr17_255000_260000	3.87036	3.87411	1.40623e-05	250000
chr17_0_5000-chr17_265000_270000	3.12225	3.49058	0.135667	260000
chr17_0_5000-chr17_270000_275000	3.54847	3.41163	0.0187265	265000
chr17_0_5000-chr17_275000_280000	2.9448	3.1481	0.0413302	270000
chr17_0_5000-chr17_285000_290000	3.5073	3.34407	0.0266432	280000
chr17_0_5000-chr17_290000_295000	3.33491	3.35411	0.000368503	285000
chr17_0_5000-chr17_295000_300000	2.64891	2.91884	0.0728635	290000
chr17_0_5000-chr17_35000_40000	4.57156	4.66948	0.00958787	30000
chr17_0_5000-chr17_400000_405000	3.248	3.07764	0.0290232	395000
chr17_0_5000-chr17_40000_45000	3.69477	3.93315	0.0568249	35000
chr17_0_5000-chr17_405000_410000	2.89097	2.93872	0.00228014	400000
chr17_0_5000-chr17_410000_415000	2.72896	2.88931	0.0257129	405000
chr17_0_5000-chr17_415000_420000	2.85696	2.82701	0.000896746	410000
chr17_0_5000-chr17_420000_425000	2.98971	2.94799	0.00174045	415000
chr17_0_5000-chr17_425000_430000	2.47346	2.63624	0.026497	420000
chr17_0_5000-chr17_430000_435000	3.09314	2.98162	0.0124365	425000
chr17_0_5000-chr17_435000_440000	3.19505	2.98516	0.0440556	430000
chr17_0_5000-chr17_440000_445000	3.44216	3.1678	0.075271	435000
chr17_0_5000-chr17_445000_450000	3.24148	2.99554	0.0604882	440000
chr17_0_5000-chr17_450000_455000	2.82415	2.76537	0.00345523	445000
chr17_0_5000-chr17_45000_50000	4.66916	4.40411	0.0702517	40000
chr17_0_5000-chr17_460000_465000	3.12708	3.04018	0.00755127	455000
chr17_0_5000-chr17_465000_470000	2.89812	2.88961	7.24507e-05	460000
chr17_0_5000-chr17_470000_475000	2.54255	2.55495	0.000153653	465000
chr17_0_5000-chr17_475000_480000	2.67396	2.6618	0.000147912	470000
chr17_0_5000-chr17_480000_485000	2.9301	2.79888	0.0172192	475000
chr17_0_5000-chr17_485000_490000	1.96069	2.44511	0.234662	480000
chr17_0_5000-chr17_495000_500000	1.33531	1.86542	0.281017	490000
chr17_0_5000-chr17_500000_505000	2.36095	2.54987	0.0356913	495000
chr17_0_5000-chr17_50000_55000	4.2593	4.1568	0.0105065	45000
chr17_0_5000-chr17_5000_10000	6.18687	5.075	1.23625	0
chr17_0_5000-chr17_505000_510000	3.08761	2.93951	0.021933	500000
chr17_0_5000-chr17_520000_525000	1.98636	2.46515	0.229237	515000
chr17_0_5000-chr17_525000_530000	2.37502	2.52071	0.0212269	520000
chr17_0_5000-chr17_530000_535000	2.34901	2.57992	0.0533179	525000
chr17_0_5000-chr17_535000_540000	3.24091	2.89338	0.120776	530000
chr17_0_5000-chr17_550000_555000	2.85024	2.8878	0.00141063	545000
chr17_0_5000-chr17_55000_60000	4.22805	4.17908	0.0023981	50000
chr17_0_5000-chr17_555000_560000	3.22782	3.22579	4.11922e-06	550000
chr17_0_5000-chr17_560000_565000	3.06375	3.08915	0.000645225	555000
chr17_0_5000-chr17_570000_575000	3.31883	3.20726	0.0124471	565000
chr17_0_5000-chr17_580000_585000	2.92059	3.16513	0.0597995	575000
chr17_0_5000-chr17_585000_590000	3.44689	3.37674	0.00492068	580000
chr17_0_5000-chr17_590000_595000	3.63005	3.4178	0.0450489	585000
chr17_0_5000-chr17_595000_600000	3.50362	3.45614	0.00225454	590000
chr17_0_5000-chr17_600000_605000	3.71425	3.54594	0.028329	595000
chr17_0_5000-chr17_60000_65000	4.33807	4.03871	0.0896146	55000
chr17_0_5000-chr17_605000_610000	3.69369	3.34497	0.121605	600000
chr17_0_5000-chr17_615000_620000	3.33379	3.40486	0.00505138	610000
chr17_0_5000-chr17_620000_625000	3.16584	3.24222	0.00583381	615000
chr17_0_5000-chr17_625000_630000	3.35832	3.19188	0.0277033	620000
chr17_0_5000-chr17_630000_635000	3.36351	3.29073	0.00529674	625000
chr17_0_5000-chr17_635000_640000	3.2516	3.25113	2.18784e-07	630000
chr17_0_5000-chr17_640000_645000	3.00028	2.79908	0.0404801	635000
chr17_0_5000-chr17_645000_650000	2.88198	2.78204	0.0099881	640000
