Pair	Ctcf_E	Dnase_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me1_E	H3k4me2_E	H3k4me3_E	H3k79me2_E	H3k9ac_E	H3k9me3_E	H4k20me1_E	RAD21_E	TBP_E	Ctcf_P	Dnase_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me1_P	H3k4me2_P	H3k4me3_P	H3k79me2_P	H3k9ac_P	H3k9me3_P	H4k20me1_P	RAD21_P	TBP_P	Ctcf_W	Dnase_W	H3k27ac_W	H3k27me3_W	H3k36me3_W	H3k4me1_W	H3k4me2_W	H3k4me3_W	H3k79me2_W	H3k9ac_W	H3k9me3_W	H4k20me1_W	RAD21_W	TBP_W	Distance	Count
chr17_0_5000-chr17_1000000_1005000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.53653	1.54523	0.602265	2.68038	3.30582	0.678905	0.709385	1.10828	0.37768	0.70618	1.41225	1.63695	1.15549	0.01	1.44205	1.53425	1.20494	1.33197	2.01182	1.19179	1.22186	1.28527	1.01652	1.11393	1.12186	1.31077	3.5088	0.0666339	995000	1.00674
chr17_0_5000-chr17_100000_105000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.02062	0.797935	0.468885	1.15123	1.77869	0.281055	0.515195	0.60395	0.263735	0.38638	0.75056	1.09538	1.27426	0.01	1.26115	1.14114	0.880827	1.05672	1.65442	0.500418	0.556955	0.790524	0.344997	0.469981	1.06655	1.38432	8.14947	0.0911564	95000	2.22683
chr17_0_5000-chr17_1005000_1010000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.624535	0.8418	0.81046	2.07598	3.75062	0.82586	0.82053	1.04394	0.39028	0.43552	1.27424	1.7623	1.76595	0.01	1.43752	1.5343	1.20193	1.33871	2.01829	1.18922	1.2193	1.28439	1.01333	1.11189	1.12331	1.3124	3.49704	0.0663507	1e+06	0.92489
chr17_0_5000-chr17_105000_110000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.82986	0.71042	0.16109	0.86988	1.05464	0.214	0.29379	0.13045	0.0949935	0.47734	0.481625	1.20221	3.51925	0.01	1.24913	1.12398	0.86023	1.06145	1.66063	0.48945	0.554867	0.781196	0.340934	0.465801	1.05075	1.36987	7.80571	0.0870986	100000	2.57308
chr17_0_5000-chr17_110000_115000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.974765	1.00812	0.79591	2.37484	2.58647	0.629255	0.625345	0.91975	0.456145	0.440475	1.1014	2.19675	2.38961	0.01	1.22916	1.10429	0.826938	1.05232	1.63177	0.476333	0.542435	0.750208	0.329223	0.466351	1.02365	1.36189	7.60159	0.0834272	105000	2.84484
chr17_0_5000-chr17_120000_125000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.855335	0.80912	0.59415	0.78228	0.87898	0.383085	0.5669	0.681495	0.45728	0.572725	0.804785	0.719775	3.25912	0.520999	1.22605	1.08674	0.821717	1.1534	1.70545	0.502177	0.535922	0.741217	0.336421	0.471714	1.03868	1.41363	7.14294	0.0770423	115000	2.58535
chr17_0_5000-chr17_125000_130000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.29585	1.12336	0.93577	1.24683	1.01721	0.723775	0.299505	0.735045	0.308535	0.440495	1.3646	1.4746	2.7313	0.01	1.2106	1.07517	0.812235	1.13794	1.67101	0.497214	0.537213	0.738729	0.341457	0.475923	1.02893	1.38472	6.98111	0.0955405	120000	2.88636
chr17_0_5000-chr17_130000_135000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.730945	0.559625	1.08839	1.33574	2.60962	0.72381	0.509535	0.91854	0.3145	0.583115	1.46448	2.4172	3.62308	0.01	1.21401	1.0771	0.817177	1.14229	1.64486	0.506277	0.527704	0.738581	0.34014	0.474506	1.04236	1.38832	6.81112	0.0921189	125000	2.75621
chr17_0_5000-chr17_135000_140000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.72315	1.29305	0.31426	1.21844	2.35365	0.112002	0.321009	0.435465	0.35142	0.349495	0.80265	1.76931	6.27618	0.01	1.19543	1.0572	0.827608	1.14973	1.68197	0.514644	0.527006	0.745503	0.339154	0.478683	1.0586	1.42789	6.6885	0.0889604	130000	2.79402
chr17_0_5000-chr17_140000_145000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.02419	1.1658	0.70936	1.5588	2.67629	0.40782	0.404015	0.316315	0.470595	0.307635	1.03966	2.01359	3.78947	0.01	1.21498	1.06593	0.808595	1.15228	1.70685	0.499731	0.519376	0.73402	0.339608	0.473898	1.04912	1.44054	6.67323	0.086036	135000	2.54591
chr17_0_5000-chr17_145000_150000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.0593	0.96856	0.72255	1.79124	1.56044	0.23876	0.45679	0.555905	0.35327	0.37653	0.72126	1.47108	5.87974	0.01	1.20816	1.0695	0.805051	1.1668	1.74147	0.496448	0.515256	0.719102	0.344286	0.46796	1.04878	1.461	6.57024	0.0833204	140000	1.22882
chr17_0_5000-chr17_150000_155000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.00241	0.38359	0.823605	1.1945	3.06959	0.39037	0.59253	0.922345	0.20836	0.57971	0.926355	1.54619	5.17949	0.01	1.20303	1.06602	0.802206	1.18833	1.73523	0.487563	0.51324	0.713474	0.344596	0.464808	1.03749	1.46135	6.54643	0.0807921	145000	2.66894
chr17_0_5000-chr17_15000_20000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.347575	0.73618	0.78118	0.30729	0.909945	0.57688	0.498245	1.04151	0.48579	0.403375	0.991305	0.86225	4.53561	0.01	5.50665	2.22738	0.647337	1.10908	2.24911	0.458865	0.3041	0.618088	0.300851	0.520496	1.01924	1.44288	4.75445	0.01	10000	2.60216
chr17_0_5000-chr17_160000_165000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.23513	0.700865	0.872025	0.513465	1.26299	0.348175	0.661125	0.980185	0.36669	0.393735	1.00411	1.9399	7.14769	0.01	1.79006	1.09311	0.804532	1.17704	1.77376	0.493091	0.524339	0.726947	0.344714	0.463951	1.04552	1.46033	6.80205	0.0762249	155000	2.84996
